Дата      ;Уровень;Уровень;Уровень;Темпер.;КСВО          ;
          ;средний;миним. ;максим.;средняя;              ;
01.01.2000; 646   ; 646   ; 646   ;       ;16            ;
02.01.2000; 645   ; 645   ; 645   ;       ;16            ;
03.01.2000; 644   ; 644   ; 644   ;       ;16            ;
04.01.2000; 642   ; 642   ; 642   ;       ;16            ;
05.01.2000; 639   ; 639   ; 639   ;       ;16            ;
06.01.2000; 637   ; 637   ; 637   ;       ;16            ;
07.01.2000; 635   ; 635   ; 635   ;       ;16            ;
08.01.2000; 630   ; 630   ; 630   ;       ;16            ;
09.01.2000; 626   ; 626   ; 626   ;       ;16            ;
10.01.2000; 621   ; 621   ; 621   ;       ;16            ;
11.01.2000; 618   ; 618   ; 618   ;       ;16            ;
12.01.2000; 615   ; 615   ; 615   ;       ;16            ;
13.01.2000; 613   ; 613   ; 613   ;       ;16            ;
14.01.2000; 611   ; 611   ; 611   ;       ;16            ;
15.01.2000; 610   ; 610   ; 610   ;       ;16            ;
16.01.2000; 607   ; 607   ; 607   ;       ;16            ;
17.01.2000; 605   ; 605   ; 605   ;       ;16            ;
18.01.2000; 601   ; 601   ; 601   ;       ;16            ;
19.01.2000; 597   ; 597   ; 597   ;       ;16            ;
20.01.2000; 593   ; 593   ; 593   ;       ;16            ;
21.01.2000; 588   ; 588   ; 588   ;       ;16            ;
22.01.2000; 584   ; 584   ; 584   ;       ;16            ;
23.01.2000; 582   ; 582   ; 582   ;       ;16            ;
24.01.2000; 580   ; 580   ; 580   ;       ;16            ;
25.01.2000; 577   ; 577   ; 577   ;       ;16            ;
26.01.2000; 575   ; 575   ; 575   ;       ;16            ;
27.01.2000; 572   ; 572   ; 572   ;       ;16            ;
28.01.2000; 569   ; 569   ; 569   ;       ;16            ;
29.01.2000; 566   ; 566   ; 566   ;       ;16            ;
30.01.2000; 564   ; 564   ; 564   ;       ;16            ;
31.01.2000; 563   ; 563   ; 563   ;       ;16            ;
01.02.2000; 561   ; 561   ; 561   ;       ;16            ;
02.02.2000; 560   ; 560   ; 560   ;       ;16            ;
03.02.2000; 556   ; 556   ; 556   ;       ;16            ;
04.02.2000; 554   ; 554   ; 554   ;       ;16            ;
05.02.2000; 553   ; 553   ; 553   ;       ;16            ;
06.02.2000; 550   ; 550   ; 550   ;       ;16            ;
07.02.2000; 548   ; 548   ; 548   ;       ;16            ;
08.02.2000; 545   ; 545   ; 545   ;       ;16            ;
09.02.2000; 540   ; 540   ; 540   ;       ;16            ;
10.02.2000; 539   ; 539   ; 539   ;       ;16            ;
11.02.2000; 536   ; 536   ; 536   ;       ;16            ;
12.02.2000; 535   ; 535   ; 535   ;       ;16            ;
13.02.2000; 534   ; 534   ; 534   ;       ;16            ;
14.02.2000; 532   ; 532   ; 532   ;       ;16            ;
15.02.2000; 528   ; 528   ; 528   ;       ;16            ;
16.02.2000; 523   ; 523   ; 523   ;       ;16            ;
17.02.2000; 518   ; 518   ; 518   ;       ;16            ;
18.02.2000; 513   ; 513   ; 513   ;       ;16            ;
19.02.2000; 510   ; 510   ; 510   ;       ;16            ;
20.02.2000; 507   ; 507   ; 507   ;       ;16            ;
21.02.2000; 505   ; 505   ; 505   ;       ;16            ;
22.02.2000; 504   ; 504   ; 504   ;       ;16            ;
23.02.2000; 502   ; 502   ; 502   ;       ;16            ;
24.02.2000; 501   ; 501   ; 501   ;       ;16            ;
25.02.2000; 500   ; 500   ; 500   ;       ;16            ;
26.02.2000; 498   ; 498   ; 498   ;       ;16            ;
27.02.2000; 495   ; 495   ; 495   ;       ;16            ;
28.02.2000; 494   ; 494   ; 494   ;       ;16            ;
29.02.2000; 491   ; 491   ; 491   ;       ;16            ;
01.03.2000; 490   ; 490   ; 490   ;       ;16            ;
02.03.2000; 488   ; 488   ; 488   ;       ;16            ;
03.03.2000; 491   ; 491   ; 491   ;       ;16            ;
04.03.2000; 494   ; 494   ; 494   ;       ;16            ;
05.03.2000; 497   ; 497   ; 497   ;       ;16            ;
06.03.2000; 498   ; 498   ; 498   ;       ;16            ;
07.03.2000; 498   ; 498   ; 498   ;       ;16            ;
08.03.2000; 498   ; 498   ; 498   ;       ;16            ;
09.03.2000; 497   ; 497   ; 497   ;       ;16            ;
10.03.2000; 497   ; 497   ; 497   ;       ;16            ;
11.03.2000; 497   ; 497   ; 497   ;       ;16            ;
12.03.2000; 498   ; 498   ; 498   ;       ;16            ;
13.03.2000; 498   ; 498   ; 498   ;       ;16            ;
14.03.2000; 500   ; 500   ; 500   ;       ;16            ;
15.03.2000; 502   ; 502   ; 502   ;       ;16            ;
16.03.2000; 503   ; 503   ; 503   ;       ;16            ;
17.03.2000; 503   ; 503   ; 503   ;       ;16            ;
18.03.2000; 502   ; 502   ; 502   ;       ;16            ;
19.03.2000; 500   ; 500   ; 500   ;       ;16            ;
20.03.2000; 498   ; 498   ; 498   ;       ;16            ;
21.03.2000; 495   ; 495   ; 495   ;       ;16            ;
22.03.2000; 492   ; 492   ; 492   ;       ;16            ;
23.03.2000; 495   ; 495   ; 495   ;       ;16            ;
24.03.2000; 499   ; 499   ; 499   ;       ;16            ;
25.03.2000; 501   ; 501   ; 501   ;       ;16            ;
26.03.2000; 503   ; 503   ; 503   ;       ;16            ;
27.03.2000; 504   ; 504   ; 504   ;       ;16            ;
