Дата      ;Расход    ;
          ;воды      ;
01.01.2000;  2380.000;
02.01.2000;  2410.000;
03.01.2000;  2440.000;
04.01.2000;  2470.000;
05.01.2000;  2500.000;
06.01.2000;  2530.000;
07.01.2000;  2560.000;
08.01.2000;  2590.000;
09.01.2000;  2620.000;
10.01.2000;  2650.000;
11.01.2000;  2680.000;
12.01.2000;  2670.000;
13.01.2000;  2660.000;
14.01.2000;  2650.000;
15.01.2000;  2640.000;
16.01.2000;  2630.000;
17.01.2000;  2620.000;
18.01.2000;  2600.000;
19.01.2000;  2590.000;
20.01.2000;  2580.000;
21.01.2000;  2570.000;
22.01.2000;  2560.000;
23.01.2000;  2550.000;
24.01.2000;  2540.000;
25.01.2000;  2510.000;
26.01.2000;  2480.000;
27.01.2000;  2460.000;
28.01.2000;  2430.000;
29.01.2000;  2400.000;
30.01.2000;  2370.000;
01.02.2000;  2310.000;
02.02.2000;  2290.000;
03.02.2000;  2260.000;
04.02.2000;  2230.000;
05.02.2000;  2200.000;
06.02.2000;  2170.000;
07.02.2000;  2150.000;
08.02.2000;  2120.000;
09.02.2000;  2090.000;
10.02.2000;  2060.000;
11.02.2000;  2030.000;
12.02.2000;  2000.000;
13.02.2000;  1980.000;
14.02.2000;  1950.000;
15.02.2000;  1920.000;
16.02.2000;  1890.000;
17.02.2000;  1860.000;
18.02.2000;  1840.000;
19.02.2000;  1810.000;
20.02.2000;  1780.000;
21.02.2000;  1750.000;
22.02.2000;  1720.000;
23.02.2000;  1700.000;
24.02.2000;  1670.000;
25.02.2000;  1640.000;
26.02.2000;  1610.000;
27.02.2000;  1580.000;
28.02.2000;  1560.000;
29.02.2000;  1530.000;
30.02.2000;          ;
01.03.2000;  1500.000;
02.03.2000;  1520.000;
03.03.2000;  1530.000;
04.03.2000;  1550.000;
05.03.2000;  1560.000;
06.03.2000;  1580.000;
07.03.2000;  1590.000;
08.03.2000;  1610.000;
09.03.2000;  1630.000;
10.03.2000;  1640.000;
11.03.2000;  1660.000;
12.03.2000;  1670.000;
13.03.2000;  1690.000;
14.03.2000;  1700.000;
15.03.2000;  1720.000;
16.03.2000;  1720.000;
17.03.2000;  1730.000;
18.03.2000;  1730.000;
19.03.2000;  1730.000;
20.03.2000;  1730.000;
21.03.2000;  1740.000;
22.03.2000;  1740.000;
23.03.2000;  1740.000;
24.03.2000;  1740.000;
25.03.2000;  1750.000;
26.03.2000;  1750.000;
27.03.2000;  1750.000;
28.03.2000;  1750.000;
29.03.2000;  1760.000;
30.03.2000;  1760.000;
01.04.2000;  1740.000;
02.04.2000;  1740.000;
03.04.2000;  1730.000;
04.04.2000;  1720.000;
05.04.2000;  1710.000;
06.04.2000;  1710.000;
07.04.2000;  1700.000;
08.04.2000;  1690.000;
09.04.2000;  1760.000;
10.04.2000;  1850.000;
11.04.2000;  1940.000;
12.04.2000;  2060.000;
13.04.2000;  2120.000;
14.04.2000;  2240.000;
15.04.2000;  2340.000;
16.04.2000;  2540.000;
17.04.2000;  2670.000;
18.04.2000;  2890.000;
19.04.2000;  3110.000;
20.04.2000;  3640.000;
21.04.2000;  4440.000;
22.04.2000;  5510.000;
23.04.2000;  5660.000;
24.04.2000;  6010.000;
25.04.2000;  8260.000;
26.04.2000;  9610.000;
27.04.2000;  9870.000;
28.04.2000;  9890.000;
29.04.2000; 10400.000;
30.04.2000; 11500.000;
01.05.2000; 11800.000;
02.05.2000; 11800.000;
03.05.2000; 11800.000;
04.05.2000; 12000.000;
05.05.2000; 12900.000;
06.05.2000; 14000.000;
07.05.2000; 15000.000;
08.05.2000; 16000.000;
09.05.2000; 16700.000;
10.05.2000; 17600.000;
11.05.2000; 18100.000;
12.05.2000; 18400.000;
13.05.2000; 18600.000;
14.05.2000; 18400.000;
15.05.2000; 18100.000;
16.05.2000; 17400.000;
17.05.2000; 16600.000;
18.05.2000; 16200.000;
19.05.2000; 15800.000;
20.05.2000; 15200.000;
21.05.2000; 14600.000;
22.05.2000; 14300.000;
23.05.2000; 13800.000;
24.05.2000; 13200.000;
25.05.2000; 12800.000;
26.05.2000; 12600.000;
27.05.2000; 12600.000;
28.05.2000; 12700.000;
29.05.2000; 12900.000;
30.05.2000; 12900.000;
01.06.2000; 12100.000;
02.06.2000; 11600.000;
03.06.2000; 11300.000;
04.06.2000; 11000.000;
05.06.2000; 10400.000;
06.06.2000; 10100.000;
07.06.2000; 10100.000;
08.06.2000; 10100.000;
09.06.2000; 10100.000;
10.06.2000;  9970.000;
11.06.2000;  9670.000;
12.06.2000;  9430.000;
13.06.2000;  9100.000;
14.06.2000;  8680.000;
15.06.2000;  8350.000;
16.06.2000;  8140.000;
17.06.2000;  7790.000;
18.06.2000;  7460.000;
19.06.2000;  7200.000;
20.06.2000;  6800.000;
21.06.2000;  6450.000;
22.06.2000;  6120.000;
23.06.2000;  5970.000;
24.06.2000;  5730.000;
25.06.2000;  5480.000;
26.06.2000;  5240.000;
27.06.2000;  5030.000;
28.06.2000;  4950.000;
29.06.2000;  4910.000;
30.06.2000;  4760.000;
01.07.2000;  4720.000;
02.07.2000;  4690.000;
03.07.2000;  4690.000;
04.07.2000;  4840.000;
05.07.2000;  4880.000;
06.07.2000;  5030.000;
07.07.2000;  5050.000;
08.07.2000;  5180.000;
09.07.2000;  5330.000;
10.07.2000;  5480.000;
11.07.2000;  5700.000;
12.07.2000;  5920.000;
13.07.2000;  6080.000;
14.07.2000;  6280.000;
15.07.2000;  6450.000;
16.07.2000;  6640.000;
17.07.2000;  6960.000;
18.07.2000;  7360.000;
19.07.2000;  7510.000;
20.07.2000;  7510.000;
21.07.2000;  7590.000;
22.07.2000;  7850.000;
23.07.2000;  8030.000;
24.07.2000;  8140.000;
25.07.2000;  8530.000;
26.07.2000;  9130.000;
27.07.2000;  9730.000;
28.07.2000; 10300.000;
29.07.2000; 11300.000;
30.07.2000; 12100.000;
01.08.2000; 13200.000;
02.08.2000; 14300.000;
03.08.2000; 15600.000;
04.08.2000; 16700.000;
05.08.2000; 17700.000;
06.08.2000; 18300.000;
07.08.2000; 18800.000;
08.08.2000; 19300.000;
09.08.2000; 19400.000;
10.08.2000; 19500.000;
11.08.2000; 19300.000;
12.08.2000; 19200.000;
13.08.2000; 19100.000;
14.08.2000; 19200.000;
15.08.2000; 19200.000;
16.08.2000; 19100.000;
17.08.2000; 18900.000;
18.08.2000; 18500.000;
19.08.2000; 18000.000;
20.08.2000; 17800.000;
21.08.2000; 17200.000;
22.08.2000; 16700.000;
23.08.2000; 16400.000;
24.08.2000; 16200.000;
25.08.2000; 15900.000;
26.08.2000; 15800.000;
27.08.2000; 15000.000;
28.08.2000; 14500.000;
29.08.2000; 14300.000;
30.08.2000; 13900.000;
01.09.2000; 13500.000;
02.09.2000; 13300.000;
03.09.2000; 12900.000;
04.09.2000; 12600.000;
05.09.2000; 12100.000;
06.09.2000; 11700.000;
07.09.2000; 11400.000;
08.09.2000; 11200.000;
